Transaction Date, Posting Date, Description, Amount (THB)
01/06/25, 01/06/25, Payment-KTB Internet, -8602.87
18/05/25, 19/05/25, LOTUS'S 5135 THATHUM SURIN, 320.25
19/05/25, 20/05/25, ANTHROPIC ANTHROPIC.COMUS, 182.70
19/05/25, 21/05/25, PAYPAL *SHENDURQWE 40293773373, 74.50
23/05/25, 24/05/25, ANTHROPIC ANTHROPIC.COMUS, 179.97
24/05/25, 25/05/25, PTITSD.J.J PETROLEUM SURIN, 1000.00
24/05/25, 25/05/25, CI 1495-THA TUM SURIN, 604.00
24/05/25, 25/05/25, LOTUS'S 5135 THATHUM SURIN, 1671.00
31/05/25, 01/06/25, LOTUS'S 5135 THATHUM SURIN, 414.75
03/06/25, 04/06/25, PTITSD.J.J PETROLEUM SURIN, 650.00
07/06/25, 08/06/25, LOTUS'S 5135 THATHUM SURIN, 1872.50
